source_segment_id,target_segment_id,evaluation_type,date,model_value,prior_prob_low_state,prior_prob_high_state,prob_low_state,prob_high_state,state,inflation_regime,log_likelihood_under_previous_params
segment_01,segment_02,next_segment_using_previous_params,1992-12-31,-0.14908348644124203,0.913093319376142,0.086906680623858,0.9992771627494796,0.0007228372505202875,低通胀状态,通胀偏低,-180.01755610901657
segment_01,segment_02,next_segment_using_previous_params,1993-01-31,7.615974419989847,0.9194086787034081,0.08059132129659177,0.705932498606542,0.29406750139345805,低通胀状态,通胀偏低,-180.01755610901657
segment_01,segment_02,next_segment_using_previous_params,1993-02-28,7.182613149738083,0.6794363377311633,0.32056366226883676,0.38980434752653487,0.6101956524734651,高通胀状态,通胀偏高,-180.01755610901657
segment_01,segment_02,next_segment_using_previous_params,1993-03-31,7.875082150130167,0.42082583024659004,0.5791741697534099,0.10979397824118549,0.8902060217588146,高通胀状态,通胀偏高,-180.01755610901657
segment_01,segment_02,next_segment_using_previous_params,1993-04-30,5.868580581082327,0.19176168820661016,0.8082383117933899,0.17531469329722252,0.8246853067027775,高通胀状态,通胀偏高,-180.01755610901657
segment_01,segment_02,next_segment_using_previous_params,1993-05-31,3.9797414876267467,0.24536129745844648,0.7546387025415535,0.5824324914932397,0.4175675085067603,低通胀状态,通胀偏低,-180.01755610901657
segment_01,segment_02,next_segment_using_previous_params,1993-06-30,5.566642466903442,0.5784064250049271,0.42159357499507283,0.6122464103127975,0.3877535896872025,低通胀状态,通胀偏低,-180.01755610901657
segment_01,segment_02,next_segment_using_previous_params,1993-07-31,7.32719251753684,0.602795877983692,0.397204122016308,0.28862655213217886,0.7113734478678212,高通胀状态,通胀偏高,-180.01755610901657
segment_01,segment_02,next_segment_using_previous_params,1993-08-31,7.04065160704117,0.3380567351068073,0.6619432648931928,0.14759633370421749,0.8524036662957826,高通胀状态,通胀偏高,-180.01755610901657
segment_01,segment_02,next_segment_using_previous_params,1993-09-30,4.020322992851744,0.22268612912403027,0.7773138708759697,0.5430298285994055,0.45697017140059454,低通胀状态,通胀偏低,-180.01755610901657
